序号,温度(℃),湿度(%),日期
1,21.1,52.9,2026-03-16 11:28:41
2,28.0,26.5,2026-03-24 13:52:11
3,28.6,27.0,2026-03-24 14:22:11
4,28.6,24.8,2026-03-24 14:52:11
5,30.2,22.4,2026-03-24 15:22:11
6,29.4,22.5,2026-03-24 15:52:11
7,28.7,24.6,2026-03-24 16:22:11
8,27.1,24.6,2026-03-24 16:52:11
9,26.9,24.5,2026-03-24 17:22:11
10,25.3,26.4,2026-03-24 17:52:11
11,23.6,29.7,2026-03-24 18:22:11
12,22.4,31.7,2026-03-24 18:52:11
13,21.0,36.1,2026-03-24 19:22:11
14,20.1,38.9,2026-03-24 19:52:11
15,19.4,41.9,2026-03-24 20:22:11
16,18.8,47.1,2026-03-24 20:52:11
17,18.5,49.8,2026-03-24 21:22:11
18,18.5,49.2,2026-03-24 21:52:11
19,18.3,50.4,2026-03-24 22:22:11
20,17.9,53.7,2026-03-24 22:52:11
21,18.1,52.7,2026-03-24 23:22:11
22,17.3,55.6,2026-03-24 23:52:11
23,17.2,55.8,2026-03-25 00:22:11
24,17.5,55.6,2026-03-25 00:52:11
25,16.4,66.4,2026-03-25 01:22:11
26,15.7,67.3,2026-03-25 01:52:11
27,15.1,69.7,2026-03-25 02:22:11
28,14.9,70.9,2026-03-25 02:52:11
29,14.5,72.3,2026-03-25 03:22:11
30,14.0,71.4,2026-03-25 03:52:11
31,14.0,73.4,2026-03-25 04:22:11
32,14.4,73.6,2026-03-25 04:52:11
33,14.5,71.9,2026-03-25 05:22:11
34,14.2,73.3,2026-03-25 05:52:11
35,14.3,72.9,2026-03-25 06:22:11
36,14.7,73.1,2026-03-25 06:52:11
37,14.5,72.2,2026-03-25 07:22:11
38,14.8,70.8,2026-03-25 07:52:11
39,15.8,67.0,2026-03-25 08:22:11
40,17.1,61.2,2026-03-25 08:52:11
41,17.8,58.5,2026-03-25 09:22:11
42,17.1,59.2,2026-03-25 09:52:11
43,18.4,58.9,2026-03-25 10:22:11
44,20.7,52.0,2026-03-25 10:52:11
45,24.2,44.4,2026-03-25 11:22:11
46,25.4,39.1,2026-03-25 11:52:11
47,26.6,36.1,2026-03-25 12:22:11
48,26.1,36.7,2026-03-25 12:52:11
49,24.0,35.9,2026-03-25 13:22:11
50,23.2,36.8,2026-03-25 13:52:11
51,25.0,31.9,2026-03-25 14:22:11
52,27.2,28.0,2026-03-25 14:52:11
53,27.5,25.7,2026-03-25 15:22:11
54,28.2,25.1,2026-03-25 15:52:11
55,26.9,27.4,2026-03-25 16:22:11
56,24.9,30.1,2026-03-25 16:52:11
57,25.3,29.4,2026-03-25 17:22:11
58,24.1,31.4,2026-03-25 17:52:11
59,22.5,35.1,2026-03-25 18:22:11
60,21.3,38.0,2026-03-25 18:52:11
61,20.1,40.3,2026-03-25 19:22:11
62,19.5,41.6,2026-03-25 19:52:11
63,18.8,44.5,2026-03-25 20:22:11
64,18.5,46.2,2026-03-25 20:52:11
65,17.8,48.5,2026-03-25 21:22:11
66,17.1,53.1,2026-03-25 21:52:11
67,16.3,55.8,2026-03-25 22:22:11
68,16.9,53.7,2026-03-25 22:52:11
69,17.2,52.3,2026-03-25 23:22:11
70,17.1,53.0,2026-03-25 23:52:11
71,17.1,52.5,2026-03-26 00:22:11
72,17.4,50.8,2026-03-26 00:52:11
73,17.4,51.3,2026-03-26 01:22:11
74,17.0,51.6,2026-03-26 01:52:11
75,16.2,54.3,2026-03-26 02:22:11
76,15.9,55.5,2026-03-26 02:52:11
77,15.6,57.9,2026-03-26 03:22:11
78,16.0,55.1,2026-03-26 03:52:11
79,15.4,56.2,2026-03-26 04:22:11
80,15.0,56.3,2026-03-26 04:52:11
81,14.8,57.1,2026-03-26 05:22:11
82,14.6,56.6,2026-03-26 05:52:11
83,14.6,55.4,2026-03-26 06:22:11
84,14.4,56.0,2026-03-26 06:52:11
85,14.5,56.1,2026-03-26 07:22:11
86,14.9,57.0,2026-03-26 07:52:11
87,16.3,54.2,2026-03-26 08:22:11
88,17.9,47.1,2026-03-26 08:52:11
89,20.0,40.7,2026-03-26 09:22:11
90,21.9,36.6,2026-03-26 09:52:11
91,24.0,29.9,2026-03-26 10:22:11
92,25.9,25.4,2026-03-26 10:52:11
93,29.6,20.0,2026-03-26 11:22:11
94,27.9,22.1,2026-03-26 11:52:11
95,28.8,21.6,2026-03-26 12:22:11
96,28.6,19.1,2026-03-26 12:52:11
97,30.7,17.8,2026-03-26 13:22:11
98,30.9,16.6,2026-03-26 13:52:11
99,30.6,15.9,2026-03-26 14:22:11
100,30.8,16.9,2026-03-26 14:52:11
101,30.8,15.4,2026-03-26 15:22:11
102,30.6,15.8,2026-03-26 15:52:11
103,31.0,16.7,2026-03-26 16:22:11
104,29.5,18.6,2026-03-26 16:52:11
105,30.0,16.0,2026-03-26 17:22:11
106,26.9,18.5,2026-03-26 17:52:11
107,24.6,26.0,2026-03-26 18:22:11
108,23.1,26.8,2026-03-26 18:52:11
109,21.8,31.0,2026-03-26 19:22:11
110,21.0,31.1,2026-03-26 19:52:11
111,20.3,33.1,2026-03-26 20:22:11
112,20.2,34.4,2026-03-26 20:52:11
113,20.0,36.9,2026-03-26 21:22:11
114,19.4,35.8,2026-03-26 21:52:11
115,19.3,37.3,2026-03-26 22:22:11
116,19.0,38.9,2026-03-26 22:52:11
117,18.4,43.0,2026-03-26 23:22:11
118,17.9,43.4,2026-03-26 23:52:11
119,17.7,43.8,2026-03-27 00:22:11
120,17.2,46.1,2026-03-27 00:52:11
121,16.7,48.0,2026-03-27 01:22:11
122,15.6,54.2,2026-03-27 01:52:11
123,15.2,61.0,2026-03-27 02:22:11
124,15.0,62.7,2026-03-27 02:52:11
125,14.9,63.9,2026-03-27 03:22:11
126,14.4,63.1,2026-03-27 03:52:11
127,14.1,65.3,2026-03-27 04:22:11
128,13.9,66.8,2026-03-27 04:52:11
129,13.4,67.7,2026-03-27 05:22:11
130,12.8,68.0,2026-03-27 05:52:11
131,12.4,69.6,2026-03-27 06:22:11
132,12.3,69.4,2026-03-27 06:52:11
133,12.5,70.7,2026-03-27 07:22:11
134,13.2,70.6,2026-03-27 07:52:11
135,15.3,66.8,2026-03-27 08:22:11
136,17.7,54.6,2026-03-27 08:52:11
137,19.8,44.6,2026-03-27 09:22:11
138,22.1,36.0,2026-03-27 09:52:11
139,23.7,30.3,2026-03-27 10:22:11
140,25.4,28.2,2026-03-27 10:52:11
141,29.6,23.4,2026-03-27 11:22:11
142,27.7,23.3,2026-03-27 11:52:11
143,28.8,22.4,2026-03-27 12:22:11
144,28.4,20.3,2026-03-27 12:52:11
145,29.5,19.7,2026-03-27 13:22:11
146,29.9,21.2,2026-03-27 13:52:11
147,30.4,20.6,2026-03-27 14:22:11
148,30.4,19.6,2026-03-27 14:52:11
149,31.3,18.7,2026-03-27 15:22:11
150,30.5,17.7,2026-03-27 15:52:11
151,30.3,17.7,2026-03-27 16:22:11
152,28.3,18.8,2026-03-27 16:52:11
153,29.1,18.5,2026-03-27 17:22:11
154,26.7,21.9,2026-03-27 17:52:11
155,24.6,24.8,2026-03-27 18:22:11
156,23.3,26.5,2026-03-27 18:52:11
