序号,温度(℃),湿度(%),日期
1,19.6,51.6,2026-03-16 10:45:11
2,19.1,52.9,2026-03-16 11:15:11
346,23.6,33.6,2026-03-23 15:15:11
347,23.7,34.9,2026-03-23 15:45:11
348,21.2,38.4,2026-03-23 16:15:11
349,24.7,37.0,2026-03-23 16:45:11
350,26.3,31.5,2026-03-23 17:15:11
351,26.8,29.8,2026-03-23 17:45:11
352,23.0,36.4,2026-03-23 18:15:11
353,20.2,41.6,2026-03-23 18:45:11
354,18.5,45.5,2026-03-23 19:15:11
355,17.4,49.0,2026-03-23 19:45:11
356,17.0,52.3,2026-03-23 20:15:11
357,16.5,54.9,2026-03-23 20:45:11
358,16.2,57.0,2026-03-23 21:15:11
359,16.1,56.7,2026-03-23 21:45:11
360,15.9,58.0,2026-03-23 22:15:11
361,15.8,60.9,2026-03-23 22:45:11
362,15.7,60.7,2026-03-23 23:15:11
363,15.6,60.8,2026-03-23 23:45:11
364,15.4,59.9,2026-03-24 00:15:11
365,15.2,60.9,2026-03-24 00:45:11
366,15.0,63.5,2026-03-24 01:15:11
367,14.3,67.1,2026-03-24 01:45:11
368,13.5,70.0,2026-03-24 02:15:11
369,13.3,72.5,2026-03-24 02:45:11
370,13.2,74.3,2026-03-24 03:15:11
371,12.8,76.5,2026-03-24 03:45:11
372,12.6,77.2,2026-03-24 04:15:11
373,12.6,77.3,2026-03-24 04:45:11
374,12.8,75.5,2026-03-24 05:15:11
375,13.3,69.8,2026-03-24 05:45:11
376,13.4,69.8,2026-03-24 06:15:11
377,13.1,71.8,2026-03-24 06:45:11
378,12.3,74.0,2026-03-24 07:15:11
379,12.3,75.0,2026-03-24 07:45:11
380,13.1,75.5,2026-03-24 08:15:11
381,15.0,71.0,2026-03-24 08:45:11
382,17.4,59.6,2026-03-24 09:15:11
383,19.2,50.6,2026-03-24 09:45:11
384,20.9,44.2,2026-03-24 10:15:11
385,22.7,40.5,2026-03-24 10:45:11
386,25.2,34.9,2026-03-24 11:15:11
387,25.4,35.2,2026-03-24 11:45:11
388,26.8,34.5,2026-03-24 12:15:11
389,26.6,32.3,2026-03-24 12:45:11
390,26.8,28.5,2026-03-24 13:15:11
391,27.9,26.1,2026-03-24 13:45:11
392,28.8,26.9,2026-03-24 14:15:11
393,30.1,24.4,2026-03-24 14:45:11
394,32.9,22.5,2026-03-24 15:15:11
395,31.2,22.9,2026-03-24 15:45:11
396,31.6,23.7,2026-03-24 16:15:11
397,30.2,22.0,2026-03-24 16:45:11
398,29.7,23.4,2026-03-24 17:15:11
399,30.1,22.2,2026-03-24 17:45:11
400,26.2,27.9,2026-03-24 18:15:11
401,24.4,29.6,2026-03-24 18:45:11
402,22.2,33.4,2026-03-24 19:15:11
403,20.9,35.4,2026-03-24 19:45:11
404,20.0,39.4,2026-03-24 20:15:11
405,19.2,44.8,2026-03-24 20:45:11
406,18.9,47.2,2026-03-24 21:15:11
407,18.8,47.7,2026-03-24 21:45:11
408,18.7,48.7,2026-03-24 22:15:11
409,18.1,51.6,2026-03-24 22:45:11
410,18.2,51.7,2026-03-24 23:15:11
