序号,温度(℃),湿度(%),日期
1,19.3,50.8,2026-03-16 10:46:22
2,19.2,51.5,2026-03-16 11:03:03
3,20.6,47.4,2026-03-16 11:33:03
4,21.8,37.9,2026-03-23 16:00:57
5,20.2,45.6,2026-03-23 16:30:57
6,22.9,37.3,2026-03-23 17:00:57
7,22.3,35.6,2026-03-23 17:30:57
8,22.2,36.0,2026-03-23 18:00:57
9,21.0,39.6,2026-03-23 18:30:57
10,18.7,44.4,2026-03-23 19:00:57
11,17.7,48.0,2026-03-23 19:30:57
12,16.8,51.1,2026-03-23 20:00:57
13,16.4,53.8,2026-03-23 20:30:57
14,16.0,55.5,2026-03-23 21:00:57
15,15.9,57.2,2026-03-23 21:30:57
16,15.7,57.4,2026-03-23 22:00:57
17,15.5,60.2,2026-03-23 22:30:57
18,15.5,61.1,2026-03-23 23:00:57
19,15.4,62.0,2026-03-23 23:30:57
20,15.1,60.3,2026-03-24 00:00:57
21,14.9,60.6,2026-03-24 00:30:57
22,14.9,62.4,2026-03-24 01:00:57
23,14.2,65.9,2026-03-24 01:30:57
24,13.5,68.3,2026-03-24 02:00:57
25,13.0,71.5,2026-03-24 02:30:57
26,13.0,74.6,2026-03-24 03:00:57
27,12.7,76.1,2026-03-24 03:30:57
28,12.3,77.4,2026-03-24 04:00:57
29,12.4,78.0,2026-03-24 04:30:57
30,12.2,76.8,2026-03-24 05:00:57
31,12.7,73.0,2026-03-24 05:30:57
32,13.1,70.8,2026-03-24 06:00:57
33,13.2,72.1,2026-03-24 06:30:57
34,12.4,73.5,2026-03-24 07:00:57
35,11.8,76.8,2026-03-24 07:30:57
36,12.1,77.5,2026-03-24 08:00:57
37,13.5,74.5,2026-03-24 08:30:57
38,16.0,63.7,2026-03-24 09:00:57
39,17.7,55.8,2026-03-24 09:30:57
40,19.3,50.3,2026-03-24 10:00:57
41,20.4,44.8,2026-03-24 10:30:57
42,22.4,39.4,2026-03-24 11:00:57
43,24.2,35.6,2026-03-24 11:30:57
44,26.5,31.8,2026-03-24 12:00:57
45,28.1,28.9,2026-03-24 12:30:57
46,29.6,26.3,2026-03-24 13:00:57
47,29.6,25.8,2026-03-24 13:30:57
48,29.2,24.5,2026-03-24 14:00:57
49,30.0,24.0,2026-03-24 14:30:57
50,30.4,23.0,2026-03-24 15:00:57
51,30.7,21.3,2026-03-24 15:30:57
52,30.5,21.3,2026-03-24 16:00:57
53,29.5,22.4,2026-03-24 16:30:57
54,27.6,23.8,2026-03-24 17:00:57
55,25.6,27.4,2026-03-24 17:30:57
56,25.6,25.3,2026-03-24 18:00:57
57,25.0,26.8,2026-03-24 18:30:57
58,22.7,31.2,2026-03-24 19:00:57
59,21.0,35.2,2026-03-24 19:30:57
60,20.1,37.5,2026-03-24 20:00:57
61,19.4,42.6,2026-03-24 20:30:57
62,18.9,46.3,2026-03-24 21:00:57
63,18.5,48.0,2026-03-24 21:30:57
64,18.5,47.9,2026-03-24 22:00:57
65,18.0,50.6,2026-03-24 22:30:57
66,17.9,52.0,2026-03-24 23:00:57
67,17.6,53.2,2026-03-24 23:30:57
68,17.3,54.1,2026-03-25 00:00:57
69,17.2,55.4,2026-03-25 00:30:57
70,17.2,59.7,2026-03-25 01:00:57
71,16.3,65.7,2026-03-25 01:30:57
72,15.4,69.2,2026-03-25 02:00:57
73,15.1,68.4,2026-03-25 02:30:57
74,14.9,69.2,2026-03-25 03:00:57
75,14.6,71.3,2026-03-25 03:30:57
76,14.1,72.9,2026-03-25 04:00:57
77,14.3,71.9,2026-03-25 04:30:57
78,14.6,70.7,2026-03-25 05:00:57
