序号,温度(℃),湿度(%),日期
1,18.4,52.9,2026-03-16 10:45:12
2,18.9,52.3,2026-03-16 11:15:12
3,30.4,22.7,2026-03-24 13:51:00
4,31.7,23.3,2026-03-24 14:21:00
5,33.0,20.5,2026-03-24 14:51:00
6,31.9,21.5,2026-03-24 15:21:00
7,31.1,21.0,2026-03-24 15:51:00
8,35.1,17.4,2026-03-24 16:21:00
9,33.8,18.1,2026-03-24 16:51:00
10,31.7,19.8,2026-03-24 17:21:00
11,26.0,26.7,2026-03-24 17:51:00
12,24.0,29.4,2026-03-24 18:21:00
13,22.7,32.3,2026-03-24 18:51:00
14,21.3,35.5,2026-03-24 19:21:00
15,20.5,36.8,2026-03-24 19:51:00
16,19.7,41.3,2026-03-24 20:21:00
17,19.1,45.8,2026-03-24 20:51:00
18,18.9,48.8,2026-03-24 21:21:00
19,18.8,47.1,2026-03-24 21:51:00
20,18.6,49.4,2026-03-24 22:21:00
21,18.2,52.3,2026-03-24 22:51:00
22,18.2,52.1,2026-03-24 23:21:00
23,17.6,54.3,2026-03-24 23:51:00
24,17.4,55.0,2026-03-25 00:21:00
25,17.7,55.2,2026-03-25 00:51:00
26,16.6,65.7,2026-03-25 01:21:00
27,15.9,65.6,2026-03-25 01:51:00
28,15.4,69.0,2026-03-25 02:21:00
29,15.2,70.0,2026-03-25 02:51:00
30,14.9,70.6,2026-03-25 03:21:00
31,14.4,71.9,2026-03-25 03:51:00
32,14.4,72.3,2026-03-25 04:21:00
33,14.6,71.9,2026-03-25 04:51:00
34,14.8,71.2,2026-03-25 05:21:00
35,14.4,71.9,2026-03-25 05:51:00
36,14.7,72.6,2026-03-25 06:21:00
37,15.0,72.2,2026-03-25 06:51:00
38,14.8,71.8,2026-03-25 07:21:00
39,15.3,69.7,2026-03-25 07:51:00
40,17.6,61.1,2026-03-25 08:21:00
41,19.0,58.9,2026-03-25 08:51:00
42,18.3,56.4,2026-03-25 09:21:00
43,17.5,58.6,2026-03-25 09:51:00
44,19.0,56.9,2026-03-25 10:21:00
45,21.2,51.7,2026-03-25 10:51:00
46,24.3,42.6,2026-03-25 11:21:00
47,26.3,40.1,2026-03-25 11:51:00
48,28.1,35.0,2026-03-25 12:21:00
49,28.0,34.0,2026-03-25 12:51:00
50,25.3,34.8,2026-03-25 13:21:00
