序号,温度(℃),湿度(%),日期
1,22.5,42.7,2026-03-16 11:32:55
346,20.4,46.0,2026-03-23 16:32:37
347,23.5,38.0,2026-03-23 17:02:37
348,23.3,37.6,2026-03-23 17:32:37
349,21.7,40.3,2026-03-23 18:02:37
350,20.1,43.1,2026-03-23 18:32:37
351,18.4,46.7,2026-03-23 19:02:37
352,17.5,50.3,2026-03-23 19:32:37
353,17.0,53.3,2026-03-23 20:02:37
354,16.6,56.2,2026-03-23 20:32:37
355,16.2,58.5,2026-03-23 21:02:37
356,16.1,57.4,2026-03-23 21:32:37
357,16.0,58.9,2026-03-23 22:02:37
358,15.9,61.2,2026-03-23 22:32:37
359,15.7,61.9,2026-03-23 23:02:37
360,15.5,62.4,2026-03-23 23:32:37
361,15.3,62.5,2026-03-24 00:02:37
362,15.1,62.5,2026-03-24 00:32:37
363,15.2,63.9,2026-03-24 01:02:37
364,14.4,66.6,2026-03-24 01:32:37
365,13.8,69.0,2026-03-24 02:02:37
366,13.6,70.9,2026-03-24 02:32:37
367,13.6,72.8,2026-03-24 03:02:37
368,13.2,75.6,2026-03-24 03:32:37
369,12.8,75.8,2026-03-24 04:02:37
370,12.7,76.5,2026-03-24 04:32:37
371,12.8,77.2,2026-03-24 05:02:37
372,13.2,74.9,2026-03-24 05:32:37
373,13.2,73.1,2026-03-24 06:02:37
374,13.3,74.0,2026-03-24 06:32:37
375,12.4,74.8,2026-03-24 07:02:37
376,12.1,76.0,2026-03-24 07:32:37
377,12.7,75.9,2026-03-24 08:02:37
378,14.9,71.2,2026-03-24 08:32:37
379,17.8,60.2,2026-03-24 09:02:37
380,19.2,54.1,2026-03-24 09:32:37
381,20.6,48.1,2026-03-24 10:02:37
382,21.7,45.0,2026-03-24 10:32:37
383,23.1,43.2,2026-03-24 11:02:37
384,24.8,37.5,2026-03-24 11:32:37
385,25.0,39.4,2026-03-24 12:02:37
386,27.2,32.7,2026-03-24 12:32:37
387,26.9,31.6,2026-03-24 13:02:37
388,27.5,27.5,2026-03-24 13:32:37
389,27.5,27.9,2026-03-24 14:02:37
390,29.6,24.2,2026-03-24 14:32:37
391,31.1,23.8,2026-03-24 15:02:37
392,30.2,25.0,2026-03-24 15:32:37
393,29.8,24.6,2026-03-24 16:02:37
394,28.8,26.7,2026-03-24 16:32:37
395,27.2,26.3,2026-03-24 17:02:37
396,26.1,27.5,2026-03-24 17:32:37
397,25.0,31.6,2026-03-24 18:02:37
398,23.7,31.8,2026-03-24 18:32:37
399,22.3,34.2,2026-03-24 19:02:37
400,20.9,36.7,2026-03-24 19:32:37
401,19.9,40.1,2026-03-24 20:02:37
402,19.2,43.8,2026-03-24 20:32:37
403,18.9,48.0,2026-03-24 21:02:37
404,18.7,49.7,2026-03-24 21:32:37
405,18.6,49.1,2026-03-24 22:02:37
406,18.1,51.5,2026-03-24 22:32:37
407,18.1,52.7,2026-03-24 23:02:37
408,17.7,53.3,2026-03-24 23:32:37
409,17.2,55.3,2026-03-25 00:02:37
410,17.4,56.0,2026-03-25 00:32:37
411,17.3,59.5,2026-03-25 01:02:37
412,16.3,66.9,2026-03-25 01:32:37
413,15.9,66.9,2026-03-25 02:02:37
414,15.5,68.4,2026-03-25 02:32:37
415,15.5,69.0,2026-03-25 03:02:37
416,15.1,69.5,2026-03-25 03:32:37
417,14.8,71.1,2026-03-25 04:02:37
418,14.8,71.2,2026-03-25 04:32:37
419,15.0,71.0,2026-03-25 05:02:37
420,15.2,69.4,2026-03-25 05:32:37
421,14.8,71.1,2026-03-25 06:02:37
422,14.9,71.6,2026-03-25 06:32:37
423,15.1,70.2,2026-03-25 07:02:37
424,15.1,70.1,2026-03-25 07:32:37
425,15.4,67.6,2026-03-25 08:02:37
426,16.3,64.0,2026-03-25 08:32:37
427,17.3,60.1,2026-03-25 09:02:37
428,18.4,56.1,2026-03-25 09:32:37
429,16.7,62.9,2026-03-25 10:02:37
430,18.5,59.5,2026-03-25 10:32:37
431,21.3,53.4,2026-03-25 11:02:37
432,23.2,46.5,2026-03-25 11:32:37
433,23.9,44.9,2026-03-25 12:02:37
434,26.4,38.0,2026-03-25 12:32:37
435,25.4,39.6,2026-03-25 13:02:37
436,24.2,38.5,2026-03-25 13:32:37
437,25.0,36.6,2026-03-25 14:02:37
438,28.3,31.8,2026-03-25 14:32:37
439,29.1,25.3,2026-03-25 15:02:37
440,28.5,29.1,2026-03-25 15:32:37
441,29.3,26.9,2026-03-25 16:02:37
442,26.8,27.6,2026-03-25 16:32:37
443,25.7,29.2,2026-03-25 17:02:37
444,25.0,30.0,2026-03-25 17:32:37
445,24.2,34.4,2026-03-25 18:02:37
446,22.5,36.3,2026-03-25 18:32:37
447,21.2,40.5,2026-03-25 19:02:37
448,20.1,41.8,2026-03-25 19:32:37
449,19.4,43.7,2026-03-25 20:02:37
450,18.8,45.9,2026-03-25 20:32:37
451,18.3,48.6,2026-03-25 21:02:37
452,17.9,50.3,2026-03-25 21:32:37
453,17.2,53.5,2026-03-25 22:02:37
454,16.8,55.6,2026-03-25 22:32:37
455,17.3,54.4,2026-03-25 23:02:37
456,17.3,54.5,2026-03-25 23:32:37
457,17.2,53.2,2026-03-26 00:02:37
458,17.3,52.9,2026-03-26 00:32:37
459,17.5,51.7,2026-03-26 01:02:37
460,17.4,51.7,2026-03-26 01:32:37
461,17.1,52.9,2026-03-26 02:02:37
462,16.8,53.2,2026-03-26 02:32:37
463,16.3,54.6,2026-03-26 03:02:37
464,16.4,55.1,2026-03-26 03:32:37
465,16.3,54.8,2026-03-26 04:02:37
466,15.8,55.3,2026-03-26 04:32:37
467,15.5,54.5,2026-03-26 05:02:37
468,15.3,55.3,2026-03-26 05:32:37
469,15.1,54.9,2026-03-26 06:02:37
470,15.1,53.9,2026-03-26 06:32:37
471,14.8,54.6,2026-03-26 07:02:37
472,15.0,55.2,2026-03-26 07:32:37
473,15.4,56.9,2026-03-26 08:02:37
474,17.1,51.7,2026-03-26 08:32:37
475,19.2,45.8,2026-03-26 09:02:37
476,20.5,42.6,2026-03-26 09:32:37
477,21.5,39.4,2026-03-26 10:02:37
478,22.9,32.7,2026-03-26 10:32:37
479,24.4,28.7,2026-03-26 11:02:37
480,25.6,27.3,2026-03-26 11:32:37
