序号,温度(℃),湿度(%),日期
1,20.4,48.8,2026-03-16 10:44:57
2,20.0,49.8,2026-03-16 11:14:57
3,22.5,38.5,2026-03-23 15:28:52
4,21.5,39.2,2026-03-23 15:58:52
5,20.5,49.8,2026-03-23 16:28:52
6,23.8,38.0,2026-03-23 16:58:52
7,25.3,33.1,2026-03-23 17:28:52
8,23.5,34.4,2026-03-23 17:58:52
9,21.0,39.6,2026-03-23 18:28:52
10,19.1,44.6,2026-03-23 18:58:52
11,17.8,48.6,2026-03-23 19:28:52
12,17.0,52.4,2026-03-23 19:58:52
13,16.6,55.8,2026-03-23 20:28:52
14,16.1,57.4,2026-03-23 20:58:52
15,15.9,57.8,2026-03-23 21:28:52
16,15.9,58.7,2026-03-23 21:58:52
17,15.7,61.4,2026-03-23 22:28:52
18,15.7,62.7,2026-03-23 22:58:52
19,15.5,63.3,2026-03-23 23:28:52
20,15.2,62.3,2026-03-23 23:58:52
21,15.1,62.6,2026-03-24 00:28:52
22,15.0,63.6,2026-03-24 00:58:52
23,14.5,65.9,2026-03-24 01:28:52
24,13.9,68.5,2026-03-24 01:58:52
25,13.5,71.4,2026-03-24 02:28:52
26,13.3,73.6,2026-03-24 02:58:52
27,13.1,75.0,2026-03-24 03:28:52
28,12.7,76.7,2026-03-24 03:58:52
29,12.5,77.1,2026-03-24 04:28:52
30,12.6,78.7,2026-03-24 04:58:52
31,12.9,75.5,2026-03-24 05:28:52
32,13.1,72.8,2026-03-24 05:58:52
33,13.2,74.2,2026-03-24 06:28:52
34,12.5,75.6,2026-03-24 06:58:52
35,12.0,76.8,2026-03-24 07:28:52
36,12.3,77.4,2026-03-24 07:58:52
37,13.8,74.4,2026-03-24 08:28:52
38,16.7,67.0,2026-03-24 08:58:52
39,18.9,55.2,2026-03-24 09:28:52
40,21.1,47.6,2026-03-24 09:58:52
41,22.6,41.6,2026-03-24 10:28:52
42,23.9,40.0,2026-03-24 10:58:52
43,25.3,37.4,2026-03-24 11:28:52
44,25.2,36.6,2026-03-24 11:58:52
45,25.4,35.9,2026-03-24 12:28:52
46,26.1,31.8,2026-03-24 12:58:52
47,27.3,29.9,2026-03-24 13:28:52
48,26.8,28.2,2026-03-24 13:58:52
49,28.2,27.3,2026-03-24 14:28:52
50,29.0,25.1,2026-03-24 14:58:52
51,28.4,25.7,2026-03-24 15:28:52
52,28.1,27.5,2026-03-24 15:58:52
53,28.2,25.9,2026-03-24 16:28:52
54,27.5,27.1,2026-03-24 16:58:52
55,28.0,25.9,2026-03-24 17:28:52
56,26.3,27.4,2026-03-24 17:58:52
57,24.6,30.2,2026-03-24 18:28:52
58,22.7,33.3,2026-03-24 18:58:52
59,21.1,36.8,2026-03-24 19:28:52
60,20.0,39.3,2026-03-24 19:58:52
61,19.2,42.0,2026-03-24 20:28:52
62,18.8,47.3,2026-03-24 20:58:52
63,18.5,49.2,2026-03-24 21:28:52
64,18.5,48.4,2026-03-24 21:58:52
65,18.1,51.8,2026-03-24 22:28:52
66,17.8,53.6,2026-03-24 22:58:52
67,17.8,54.0,2026-03-24 23:28:52
68,17.2,55.8,2026-03-24 23:58:52
69,17.3,56.3,2026-03-25 00:28:52
70,17.4,57.0,2026-03-25 00:58:52
71,16.5,66.3,2026-03-25 01:28:52
72,15.8,68.4,2026-03-25 01:58:52
73,15.4,68.7,2026-03-25 02:28:52
74,15.2,69.3,2026-03-25 02:58:52
75,15.0,70.5,2026-03-25 03:28:52
76,14.6,71.6,2026-03-25 03:58:52
77,14.6,72.0,2026-03-25 04:28:52
78,14.8,71.3,2026-03-25 04:58:52
79,15.0,69.5,2026-03-25 05:28:52
80,14.6,71.3,2026-03-25 05:58:52
81,14.8,72.3,2026-03-25 06:28:52
82,15.0,71.5,2026-03-25 06:58:52
83,14.8,70.8,2026-03-25 07:28:52
84,15.2,69.5,2026-03-25 07:58:52
85,16.1,66.3,2026-03-25 08:28:52
86,17.6,61.9,2026-03-25 08:58:52
87,18.6,57.0,2026-03-25 09:28:52
88,16.9,60.6,2026-03-25 09:58:52
89,18.5,59.6,2026-03-25 10:28:52
90,20.8,52.2,2026-03-25 10:58:52
91,23.4,45.6,2026-03-25 11:28:52
92,24.5,41.6,2026-03-25 11:58:52
93,25.6,39.3,2026-03-25 12:28:52
94,25.1,40.4,2026-03-25 12:58:52
95,23.9,36.1,2026-03-25 13:28:52
96,24.7,36.9,2026-03-25 13:58:52
97,25.8,31.5,2026-03-25 14:28:52
98,27.6,27.0,2026-03-25 14:58:52
99,26.4,29.9,2026-03-25 15:28:52
100,27.4,27.0,2026-03-25 15:58:52
101,26.7,28.9,2026-03-25 16:28:52
102,26.0,29.8,2026-03-25 16:58:52
103,26.4,30.2,2026-03-25 17:28:52
104,25.2,31.1,2026-03-25 17:58:52
105,23.0,35.6,2026-03-25 18:28:52
106,21.5,38.1,2026-03-25 18:58:52
107,20.3,40.0,2026-03-25 19:28:52
108,19.5,41.9,2026-03-25 19:58:52
109,18.9,44.0,2026-03-25 20:28:52
110,18.3,47.0,2026-03-25 20:58:52
111,17.8,48.3,2026-03-25 21:28:52
112,17.2,53.2,2026-03-25 21:58:52
113,16.7,56.1,2026-03-25 22:28:52
114,17.2,52.9,2026-03-25 22:58:52
115,17.2,52.3,2026-03-25 23:28:52
116,17.1,52.4,2026-03-25 23:58:52
117,17.4,51.9,2026-03-26 00:28:52
118,17.4,51.2,2026-03-26 00:58:52
119,17.4,51.1,2026-03-26 01:28:52
120,17.2,50.2,2026-03-26 01:58:52
121,16.7,52.9,2026-03-26 02:28:52
122,16.3,52.6,2026-03-26 02:58:52
123,16.2,54.9,2026-03-26 03:28:52
124,16.3,53.8,2026-03-26 03:58:52
125,15.8,53.7,2026-03-26 04:28:52
126,15.4,54.6,2026-03-26 04:58:52
127,15.2,54.0,2026-03-26 05:28:52
128,14.9,54.5,2026-03-26 05:58:52
129,15.0,53.7,2026-03-26 06:28:52
130,14.8,54.6,2026-03-26 06:58:52
131,14.8,55.3,2026-03-26 07:28:52
132,15.2,56.3,2026-03-26 07:58:52
133,16.2,54.1,2026-03-26 08:28:52
134,19.3,44.4,2026-03-26 08:58:52
135,20.1,40.6,2026-03-26 09:28:52
136,22.2,36.9,2026-03-26 09:58:52
137,23.8,33.8,2026-03-26 10:28:52
138,25.2,28.0,2026-03-26 10:58:52
139,26.9,26.1,2026-03-26 11:28:52
140,27.2,25.2,2026-03-26 11:58:52
141,28.2,23.5,2026-03-26 12:28:52
142,29.1,23.1,2026-03-26 12:58:52
143,29.3,19.8,2026-03-26 13:28:52
144,30.0,17.5,2026-03-26 13:58:52
145,30.8,17.6,2026-03-26 14:28:52
146,30.7,17.8,2026-03-26 14:58:52
147,30.5,16.8,2026-03-26 15:28:52
148,30.6,17.4,2026-03-26 15:58:52
149,29.7,17.0,2026-03-26 16:28:52
150,29.5,21.4,2026-03-26 16:58:52
151,30.1,16.6,2026-03-26 17:28:52
152,28.6,16.8,2026-03-26 17:58:52
153,26.0,24.5,2026-03-26 18:28:52
154,23.8,26.7,2026-03-26 18:58:52
155,22.2,30.6,2026-03-26 19:28:52
156,21.1,32.4,2026-03-26 19:58:52
